IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0089764,22,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,2,,3,,01,1,2,2,1,20,01 Non salarié,CER,00,563C,03T,37.116049945,,31,,1,24,,1
C0089801,22,111,NORD-PAS-DE-CALAIS,31,,3,1,1,2,2,3,2,02,1,2,2,2,20,,CER,00,,04T,58.785672626,,31,,2,16,,2
C0089932,21,111,NORD-PAS-DE-CALAIS,31,,2,1,2,2,,,,03,2,1,1,2,24,04 Emploi à durée déterminée,CER,00,422E,05,45.943610706,91,31,1200,1,2,5,2
C0090006,20,111,NORD-PAS-DE-CALAIS,31,2,7,7,2,2,,,,01,1,1,2,2,20,"02 CDI, Fonctionnaire",CER,00,556A,06T,38.699279814,91,31,1463,1,3,6,2
C0090072,21,111,NORD-PAS-DE-CALAIS,31,2,1,2,2,2,,,,01,2,1,1,2,39,"02 CDI, Fonctionnaire",CER,00,477C,10M,42.400708657,05,31,2000,1,9,13,2
C0090115,21,111,AQUITAINE,72,,3,1,2,1,,,,03,2,1,1,2,20,04 Emploi à durée déterminée,CER,00,532A,03T,26.233822992,91,31,1450,1,2,,2
C0090209,22,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,1,3,3,2,01,1,2,2,2,20,,CER,07,,06T,83.490290859,,31,,2,,,1
C0090310,22,111,CHAMPAGNE-ARDENNE,21,,1,1,1,2,3,3,2,02,1,1,2,1,20,,CER,00,,04T,46.187407388,,31,,3,,,2
C0090378,21,111,NORD-PAS-DE-CALAIS,31,,1,7,1,2,4,,,02,1,1,2,2,29,,CER,00,,06T,61.763926267,,31,,2,2,2,2
C0090449,21,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,2,,,,01,1,1,2,2,24,04 Emploi à durée déterminée,CER,00,431F,05,85.573280569,05,31,1452,1,3,,2
C0090640,21,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,2,3,3,1,01,1,1,1,2,20,04 Emploi à durée déterminée,CER,00,424A,05,36.544613822,91,31,820,1,0,,1
C0090706,21,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,2,,,,01,1,1,1,2,34,04 Emploi à durée déterminée,CER,00,684A,09M,58.396150029,01,31,1200,1,0,,2
C0090710,21,111,NORD-PAS-DE-CALAIS,31,,1,1,2,2,,,,03,2,1,2,2,29,,CER,00,,06T,43.948716735,,31,,5,,,2
C0090733,21,112,NORD-PAS-DE-CALAIS,31,,2,3,2,2,,,,03,2,1,1,2,34,"02 CDI, Fonctionnaire",CER,00,483A,09M,42.557382758,92,31,2050,1,0,2,2
C0090933,24,111,ALSACE,42,,4,4,2,2,3,2,1,03,1,1,1,3,39,04 Emploi à durée déterminée,CER,08,424A,05,85.712863623,91,31,1300,1,0,,2
C0091034,21,111,NORD-PAS-DE-CALAIS,31,,2,2,2,2,,,,03,2,1,1,2,34,"02 CDI, Fonctionnaire",CER,00,553A,09L,54.949410261,92,31,3680,1,1,1,2
C0091053,21,111,NORD-PAS-DE-CALAIS,31,2,1,1,2,2,3,3,1,01,1,1,2,2,20,,CER,00,,05,52.353375243,,31,,2,14,,1
C0091148,21,112,POITOU-CHARENTES,54,,1,2,2,2,3,1,1,02,2,1,2,2,34,05 Intérim,CER,00,463B,09L,43.709525947,05,31,1520,1,4,,2
